,0,1,MeanDecreaseAccuracy,MeanDecreaseGini,importance
imp_aport_var13_hace3,0.000111912,-8.56E-06,0.000107306,1.184607787,0
imp_aport_var13_ult1,0,0,0,0.003,0
imp_aport_var17_ult1,0,0,0,0,0
imp_aport_var33_hace3,0,0,0,0.009378845,0
imp_aport_var33_ult1,0,0,0,0.015540803,0
imp_var7_emit_ult1,0,0,0,0.000573575,0
imp_var7_recib_ult1,3.02E-05,-6.15E-06,2.88E-05,2.471379821,0
imp_compra_var44_hace3,0,0,0,0.009303558,0
imp_compra_var44_ult1,0,0,0,0.003,0
imp_var43_emit_ult1,0.000497705,-0.000683277,0.000452366,17.34981728,1
imp_trans_var37_ult1,0.000828509,-0.000785528,0.000766684,24.51041563,1
imp_trasp_var17_in_hace3,0,0,0,0.000320158,0
ind_var7_emit_ult1,0,0,0,0.004830984,0
ind_var7_recib_ult1,2.22E-05,-2.31E-06,2.13E-05,1.515943233,0
ind_var10_ult1,0.000399717,-0.000567936,0.000362577,5.092243095,1
ind_var10cte_ult1,0.000261296,-0.000438361,0.00023454,5.287881158,1
ind_var43_emit_ult1,0.000176084,-0.000267573,0.000159148,5.919893559,1
ind_var43_recib_ult1,0.000288415,-0.000278653,0.000266262,7.095714888,1
var21,1.00E-05,2.01E-05,1.04E-05,3.562648383,1
num_aport_var13_hace3,5.13E-05,2.86E-05,5.04E-05,0.869181501,0
num_aport_var13_ult1,0,0,0,0.003034961,0
num_aport_var17_hace3,0,0,0,0.010828411,0
num_aport_var17_ult1,0,0,0,0,0
num_aport_var33_hace3,1.61E-07,0,1.55E-07,0.009389862,0
num_aport_var33_ult1,0,0,0,1.92E-05,0
num_var7_recib_ult1,1.98E-05,-4.17E-06,1.88E-05,1.602797783,0
num_compra_var44_hace3,0,0,0,0.004047253,0
num_compra_var44_ult1,0,0,0,3.00E-05,0
num_ent_var16_ult1,0.000168456,-0.000188488,0.000154765,11.69468506,1
num_var22_hace2,0.000749059,-0.001755558,0.000653046,41.06215774,1
num_var22_hace3,0.001146047,-0.001883516,0.001030112,37.47233437,1
num_var22_ult1,5.55E-05,0.00070065,8.04E-05,36.05251987,1
num_med_var22_ult3,0.001349487,-0.001210035,0.001251365,29.57868239,1
num_med_var45_ult3,0.00510366,-0.007561101,0.00462021,48.90304448,1
num_meses_var5_ult3,0.007549536,-0.012801581,0.006770875,26.00217367,1
num_meses_var8_ult3,0.000403936,-0.000401828,0.000373084,4.396169689,1
num_meses_var12_ult3,0.000573428,-0.000450766,0.000534489,2.773398382,0
num_meses_var13_largo_ult3,1.37E-06,2.06E-06,1.39E-06,0.118991719,0
num_meses_var29_ult3,0,0,0,0.002169446,0
num_meses_var39_vig_ult3,0.000558003,-0.000751651,0.000508082,22.61618871,1
num_op_var39_comer_ult1,0.001147552,-0.001600502,0.001041886,20.4589224,1
num_op_var39_comer_ult3,0.001734617,-0.00215787,0.001585691,25.54413831,1
num_op_var40_comer_ult1,1.35E-06,1.59E-05,1.92E-06,0.705641508,0
